machine_id,timestamp,health_score,health_status,failure_probability,predicted_yield,cluster,temperature,vibration,pressure,speed,runtime_hours
M001,2025-11-06 03:10:16,100.0,Good,0.34296020047917497,81.71791223765794,3,81.66,1.127,99.88,1557.08,7280.19
M002,2025-11-06 03:10:16,100.0,Good,0.24571509227692537,82.16244147577207,0,82.21,1.049,103.14,1314.87,10586.98
M003,2025-11-06 03:10:16,100.0,Good,0.4275887891777638,85.82489567460638,2,74.4,1.072,97.51,1444.14,12533.9
M004,2025-11-06 03:10:16,100.0,Good,0.2643472060474098,80.99942273605805,3,79.01,1.273,93.26,1253.97,5954.4
M005,2025-11-06 03:10:16,100.0,Good,0.2787158612203185,84.48477322260736,3,79.92,0.742,91.58,1759.97,7932.36
M006,2025-11-06 03:10:16,100.0,Good,0.29368766660712736,86.83375836089253,1,68.13,1.079,93.64,1533.77,12619.63
M007,2025-11-06 03:10:16,100.0,Good,0.319330713982633,84.34305992583997,2,73.27,1.326,99.32,1677.32,12413.71
M008,2025-11-06 03:10:16,100.0,Good,0.29272295178022995,85.41640502891327,3,77.89,0.954,97.7,1277.85,6172.57
M009,2025-11-06 03:10:16,100.0,Good,0.32083076660278464,84.82407824031633,3,69.93,1.29,102.91,1245.65,15461.35
M010,2025-11-06 03:10:16,100.0,Good,0.268701300166565,88.30755640702785,3,79.51,0.613,94.9,1630.02,6880.87
M011,2025-11-06 03:10:16,100.0,Good,0.2305690434891219,81.51951374433872,0,70.92,1.483,109.32,1719.02,12133.8
M012,2025-11-06 03:10:16,100.0,Good,0.3737772797582704,82.41328656750193,1,71.95,1.532,105.5,1420.09,6785.68
