machine_id,predicted_yield,avg_temperature,avg_vibration,avg_pressure,avg_speed,runtime_hours,yield_efficiency_%,performance_level,optimization_potential_%,recommendation
M002,86.167564418368,72.40417592592593,0.9704569444444444,93.98793518518518,1351.6169270833334,10586.98,86.17,Excellent,13.83,EXCELLENT: Maintain current performance
M001,85.97063609428434,71.93088657407407,0.9960940972222223,104.62102430555557,1559.3598009259258,7280.19,85.97,Excellent,14.03,EXCELLENT: Maintain current performance
M012,85.86044290237919,71.9665023148148,1.0482453703703705,98.38012268518519,1649.7759189814815,7817.08,85.86,Excellent,14.14,EXCELLENT: Maintain current performance
M009,85.63242675605517,71.90279861111112,1.045350925925926,103.12098032407408,1268.6749363425924,8651.96,85.63,Excellent,14.37,EXCELLENT: Maintain current performance
M010,85.57540149802297,71.84776041666667,0.9998263888888889,107.16468055555555,1699.3000358796296,9946.1,85.58,Excellent,14.42,EXCELLENT: Maintain current performance
M007,85.55681575256672,72.18449421296296,1.0503864583333333,100.33434606481481,1736.4789895833335,7878.28,85.56,Excellent,14.44,EXCELLENT: Maintain current performance
M008,85.50959982562227,72.14885185185184,1.0314714120370372,101.40333796296296,1279.6887627314816,15220.9,85.51,Excellent,14.49,EXCELLENT: Maintain current performance
M003,85.48643969267725,72.1948148148148,1.0620711805555556,101.74746064814815,1460.6931273148148,12533.9,85.49,Excellent,14.51,EXCELLENT: Maintain current performance
M004,85.07575549329498,72.30883449074074,1.0600631944444445,102.45169675925926,1229.5927731481481,5954.4,85.08,Excellent,14.92,EXCELLENT: Maintain current performance
M005,85.00686784987198,71.98398495370371,1.038162037037037,93.54663078703705,1751.183037037037,7932.36,85.01,Excellent,14.99,EXCELLENT: Maintain current performance
M011,84.91674264680226,71.76245717592593,1.0563462962962964,107.84311342592592,1473.6335914351853,8186.13,84.92,Good,15.08,OPTIMIZE: Fine-tune operational parameters
M006,84.4093929299219,72.295625,1.0594409722222222,90.26760763888889,1538.497045138889,12619.63,84.41,Good,15.59,OPTIMIZE: Fine-tune operational parameters
